Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6aAhZW9jy7jBhRzW2S7COs,"POUR ME A DRINK","POUR ME A DRINK","SLOE JACK",2026-02-18,150666,26,false,hillydilly.com,2026-02-18T10:56:34Z,"","SLOE JACK LLC",0.841,0.669,7,-8.554,1,0.126,0.237,0.00156,0.0707,0.884,90.002,4
spotify:track:0nn0Z1o1WI01pB7oEPiJeE,"Only You (with Burna Boy)","The Fall-Off","J. Cole;Burna Boy",2026-02-06,286866,78,true,hillydilly.com,2026-02-06T19:05:06Z,"rap,afrobeats,afrobeat,afropop,afroswing,dancehall,afropiano","Cole World, Inc., under exclusive license to Interscope Records.",0.441,0.602,7,-8.219,1,0.144,0.102,0.000237,0.747,0.202,80.43,4
spotify:track:050ECC7Yu78pTJP8PrMo8o,"Quik Stop","The Fall-Off","J. Cole",2026-02-06,264520,75,true,hillydilly.com,2026-02-06T19:09:21Z,"rap","Cole World, Inc., under exclusive license to Interscope Records.",0.722,0.442,1,-7.997,0,0.389,0.304,0,0.0813,0.533,155.974,4
spotify:track:6jtqO14L18plBtpDTtUkFR,"Bunce Road Blues (with Future & Tems)","The Fall-Off","J. Cole;Future;Tems",2026-02-06,310626,81,true,hillydilly.com,2026-02-06T18:46:07Z,"rap,afrobeats,afro r&b,alté,afrobeat","Cole World, Inc., under exclusive license to Interscope Records.",0.734,0.594,9,-7.096,1,0.0546,0.183,0.0000454,0.21,0.427,137.972,4
spotify:track:2aNaJLXE4SXbm9L23qpHTG,"The Let Out","The Fall-Off","J. Cole",2026-02-06,254013,79,true,hillydilly.com,2026-02-06T18:59:49Z,"rap","Cole World, Inc., under exclusive license to Interscope Records.",0.666,0.579,4,-7.097,0,0.0364,0.159,0,0.325,0.379,139.97,3
spotify:track:3QQp1Y4zWok1YvzB4zutGy,"Lonely at the Top (Bonus)","The Fall-Off","J. Cole",2026-02-06,204413,76,true,hillydilly.com,2026-02-06T18:59:54Z,"rap","Cole World, Inc., under exclusive license to Interscope Records.",0.57,0.502,1,-7.837,1,0.106,0.172,0,0.173,0.0845,142.098,4
spotify:track:19c3J2k1JB6HZ00E7a6Dgb,"chrome hearts don't break","ACT I","Dame Atlas",2026-02-04,195708,36,false,hillydilly.com,2026-02-06T16:41:33Z,"","HOUSESONHILLS",0.55,0.536,5,-11.252,1,0.0517,0.36,0,0.1,0.327,77.906,4
spotify:track:56hrjrvmsbqX23gBPi7Gah,"do i look like jesus christ?!","ACT I","Dame Atlas",2026-02-04,147698,30,true,hillydilly.com,2026-02-06T16:44:30Z,"","HOUSESONHILLS",0.457,0.287,5,-12.929,0,0.0524,0.838,0.0000116,0.178,0.645,134.711,4
spotify:track:00unRACWmH9gbrgYuTNsgY,"save me from myself","ACT I","Dame Atlas",2026-02-04,131908,25,false,hillydilly.com,2026-02-06T16:50:26Z,"","HOUSESONHILLS",0.404,0.381,3,-12.836,0,0.0742,0.594,0,0.137,0.218,92.145,4
spotify:track:2dc0HbKiqxepMhQvF8Ffbr,"pack of ports and a dream","ACT I","Dame Atlas",2026-02-04,250849,25,false,hillydilly.com,2026-02-06T16:50:31Z,"","HOUSESONHILLS",0.481,0.257,6,-12.531,1,0.184,0.654,0.00000203,0.113,0.249,80.634,4
spotify:track:6C8PzCwummmGpjaHeMg2uO,"Wildflower","Wildflower","Finnegan Tui",2026-02-13,220680,38,false,hillydilly.com,2026-02-13T14:37:55Z,"","Eywa Music Ltd",0.377,0.273,8,-14.443,0,0.0419,0.907,0.0683,0.146,0.088,152.929,3
spotify:track:5OUGnKAiNCNxX3RXsGTcMI,"George Jones (ft. Angela Autumn)","George Jones (ft. Angela Autumn)","Deloyd Elze;Angela Autumn",2026-01-27,215691,38,false,hillydilly.com,2026-02-06T18:07:46Z,"alt country","Concord Records",0.542,0.261,10,-16.316,1,0.0371,0.879,0.144,0.107,0.243,129.965,4
spotify:track:77zqs8ucHCSk5jh9TYec4b,"The Great Divide","The Great Divide","Noah Kahan",2026-01-30,317961,88,true,hillydilly.com,2026-02-02T14:14:05Z,"","Mercury Records",0.549,0.678,11,-5.011,1,0.0298,0.00891,0,0.142,0.341,80.527,4
spotify:track:6yOHshc12fwMtM74xoy4je,"McArthur","McArthur","HARDY;Eric Church;Morgan Wallen;Tim McGraw",2026-01-30,231533,77,false,hillydilly.com,2026-02-02T14:14:48Z,"country,country rock,acoustic country,classic country","Big Loud Records",0.545,0.471,4,-9.147,1,0.0276,0.576,0.0093,0.0858,0.532,144.953,4
spotify:track:6b2XjVTFSlEwonWbH1fIo3,"For The First Time, Again","For The First Time, Again","Tyler Ballgame",2026-01-27,213902,47,false,hillydilly.com,2026-02-02T14:15:01Z,"","Rough Trade",0.475,0.431,6,-11.116,1,0.0359,0.587,0.0019,0.0846,0.359,142.852,3
spotify:track:0OD0jZsRWsC8FwKektKyA4,"Loop","Loop","Jerri",2026-01-30,138897,63,false,hillydilly.com,2026-02-02T14:16:35Z,"","Boom Records LLC",0.685,0.832,10,-3.974,0,0.0772,0.0314,0.00111,0.195,0.17,126.958,3
spotify:track:0ZVozjmLnWpmhgbGp32pkB,"scared","USB","Fred again..;Young Thug",2026-01-23,226666,72,false,hillydilly.com,2026-01-23T13:31:08Z,"stutter house,house,edm,rap,trap,melodic rap","Atlantic Records UK",0.671,0.916,0,-6.941,0,0.0502,0.0333,0.00967,0.231,0.198,125.992,4
spotify:track:18NDaA50I2xeHYeMkfVPp6,"Death of Love","Death of Love","James Blake",2026-01-22,206028,66,false,hillydilly.com,2026-01-23T13:39:27Z,"","Good Boy Records",0.633,0.54,4,-9.87,0,0.0612,0.548,0.287,0.376,0.227,108.908,4
spotify:track:4SykKuN3ZpoJViT7Nyhz57,"Body","Energy","Tolou",2026-01-23,175265,40,false,hillydilly.com,2026-01-23T14:09:24Z,"","Tolou",0.785,0.774,0,-4.973,1,0.0658,0.485,0.00000142,0.146,0.637,99.999,4
